,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Athmar Park,39.7019068,-105.0223646,Pho Duy,39.69975760481266,-105.02538192342972,Vietnamese Restaurant
1,Athmar Park,39.7019068,-105.0223646,Pho 79,39.702559126686815,-105.0253969547549,Vietnamese Restaurant
2,Athmar Park,39.7019068,-105.0223646,New Saigon,39.70484848169492,-105.02481143459917,Vietnamese Restaurant
3,Athmar Park,39.7019068,-105.0223646,Ba Le Sandwiches,39.69782700892866,-105.0247488208365,Sandwich Place
4,Athmar Park,39.7019068,-105.0223646,Lao Wang Noodle House,39.69951270406571,-105.02552636137948,Chinese Restaurant
5,Athmar Park,39.7019068,-105.0223646,Star Kitchen,39.69731156829677,-105.02427906891246,Dim Sum Restaurant
6,Athmar Park,39.7019068,-105.0223646,The Crawling Crab,39.702356435304864,-105.02536298874821,Cajun / Creole Restaurant
7,Athmar Park,39.7019068,-105.0223646,Saigon Bowl,39.71053723397363,-105.02557763017008,Vietnamese Restaurant
8,Athmar Park,39.7019068,-105.0223646,Vinh Xuong Bakery (2),39.71060865562615,-105.01523210053624,Vietnamese Restaurant
9,Athmar Park,39.7019068,-105.0223646,Pho 96,39.6964756192911,-105.02471275566126,Vietnamese Restaurant
10,Athmar Park,39.7019068,-105.0223646,The Green Solution - Alameda Ave @ West Denver Cannabis Dispensary,39.71153,-105.01829,Marijuana Dispensary
11,Athmar Park,39.7019068,-105.0223646,J's Noodle & New Thai,39.6994886699044,-105.02540371326408,Thai Restaurant
12,Athmar Park,39.7019068,-105.0223646,Suvipa Thai,39.697734999999994,-105.025566,Thai Restaurant
13,Athmar Park,39.7019068,-105.0223646,Pho 95,39.690987341077644,-105.02551384754821,Noodle House
14,Athmar Park,39.7019068,-105.0223646,Arc Thrift Store,39.711925,-105.02913799999999,Thrift / Vintage Store
15,Athmar Park,39.7019068,-105.0223646,Torres Mexican Restaurant,39.6880931,-105.0257551,Mexican Restaurant
16,Athmar Park,39.7019068,-105.0223646,China Jade,39.709799,-105.025691,Dim Sum Restaurant
17,Athmar Park,39.7019068,-105.0223646,Hong Kong BBQ,39.697696379665466,-105.02473012462832,Chinese Restaurant
18,Athmar Park,39.7019068,-105.0223646,Super Star Asian Cuisine,39.710007449028794,-105.01371473911989,Dim Sum Restaurant
19,Athmar Park,39.7019068,-105.0223646,Tacos Rapidos,39.71142164090778,-105.01498911498871,Mexican Restaurant
20,Athmar Park,39.7019068,-105.0223646,Pacific Ocean International Supermarket,39.71036257,-105.01345455,Supermarket
21,Athmar Park,39.7019068,-105.0223646,Level 7 Games,39.711581,-105.015404,Video Game Store
22,Athmar Park,39.7019068,-105.0223646,Tarasco's New Latino Cuisine,39.70806063007014,-105.02463386457579,Mexican Restaurant
23,Athmar Park,39.7019068,-105.0223646,Costco,39.708594250562086,-105.01428004608469,Warehouse Store
24,Athmar Park,39.7019068,-105.0223646,Chain Reaction Brewery,39.699576951542156,-105.00133458143358,Brewery
25,Athmar Park,39.7019068,-105.0223646,Huston Lake Park,39.69965535176167,-105.0160234729517,Park
26,Athmar Park,39.7019068,-105.0223646,Pho Ta,39.709801718349006,-105.01375081077138,Vietnamese Restaurant
27,Athmar Park,39.7019068,-105.0223646,The Empress Seafood Restaurant,39.711472,-105.023368,Dim Sum Restaurant
28,Athmar Park,39.7019068,-105.0223646,Fritangas Mexican Restaurant,39.71084,-105.02622,Mexican Restaurant
29,Athmar Park,39.7019068,-105.0223646,The Asian Cajun,39.710982552718875,-105.01598310557416,Asian Restaurant
30,Athmar Park,39.7019068,-105.0223646,Puerto Vallarta Mexican Restaurant,39.71737,-105.02548,Mexican Restaurant
31,Athmar Park,39.7019068,-105.0223646,Taqueria La Calle,39.711365551550834,-105.01025946887681,Mexican Restaurant
32,Athmar Park,39.7019068,-105.0223646,7-Eleven,39.7006688616204,-105.024557411671,Convenience Store
33,Athmar Park,39.7019068,-105.0223646,Kings Land Chinese Seafood,39.71060904708068,-105.01465813872233,Dim Sum Restaurant
34,Athmar Park,39.7019068,-105.0223646,Starbucks,39.710795000000005,-105.022345,Coffee Shop
35,Athmar Park,39.7019068,-105.0223646,Grandpa's Burger Haven,39.715937690583985,-105.02543313218199,Burger Joint
36,Athmar Park,39.7019068,-105.0223646,Vinh Xuong Bakery,39.709799,-105.025691,Bakery
