Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,Lat,Long
80235,Denver,CO,39.648328,-105.08431,-7,1,39.648328,-105.08431
80202,Denver,CO,39.751586,-104.99699,-7,1,39.751586,-104.99699
80230,Denver,CO,39.721763,-104.89627,-7,1,39.721763,-104.89627
80266,Denver,CO,39.747179,-104.991511,-7,1,39.747179,-104.991511
80238,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80216,Denver,CO,39.784622,-104.96214,-7,1,39.784622,-104.96214
80232,Denver,CO,39.690387,-105.08866,-7,1,39.690387,-105.08866
80221,Denver,CO,39.816536,-105.01123,-7,1,39.816536,-105.01123
80247,Denver,CO,39.693573,-104.876649,-7,1,39.693573,-104.876649
80239,Denver,CO,39.788236,-104.83034,-7,1,39.788236,-104.83034
80219,Denver,CO,39.698137,-105.03483,-7,1,39.698137,-105.03483
80237,Denver,CO,39.643637,-104.90406,-7,1,39.643637,-104.90406
80214,Denver,CO,39.745526,-105.06251,-7,1,39.745526,-105.06251
80220,Denver,CO,39.734387,-104.91678,-7,1,39.734387,-104.91678
80263,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80265,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80203,Denver,CO,39.731286,-104.98306,-7,1,39.731286,-104.98306
80201,Denver,CO,39.726303,-104.856808,-7,1,39.726303,-104.856808
80260,Denver,CO,39.868635,-105.00805,-7,1,39.868635,-105.00805
80218,Denver,CO,39.731237,-104.97133,-7,1,39.731237,-104.97133
80295,Denver,CO,39.745486,-104.986336,-7,1,39.745486,-104.986336
80243,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80229,Denver,CO,39.859585,-104.95943,-7,1,39.859585,-104.95943
80210,Denver,CO,39.679437,-104.96473,-7,1,39.679437,-104.96473
80231,Denver,CO,39.681687,-104.88338,-7,1,39.681687,-104.88338
80264,Denver,CO,39.742486,-104.98563,-7,1,39.742486,-104.98563
80224,Denver,CO,39.688437,-104.91348,-7,1,39.688437,-104.91348
80246,Denver,CO,39.705318,-104.93113,-7,1,39.705318,-104.93113
80270,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80281,Denver,CO,39.74394,-104.987577,-7,1,39.74394,-104.987577
80233,Denver,CO,39.903043,-104.9544,-7,1,39.903043,-104.9544
80273,Denver,CO,39.727293,-104.987535,-7,1,39.727293,-104.987535
80212,Denver,CO,39.770336,-105.04688,-7,1,39.770336,-105.04688
80236,Denver,CO,39.652454,-105.04089,-7,1,39.652454,-105.04089
80209,Denver,CO,39.706535,-104.96698,-7,1,39.706535,-104.96698
80244,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80274,Denver,CO,39.743934,-104.987577,-7,1,39.743934,-104.987577
80271,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80211,Denver,CO,39.767536,-105.01973,-7,1,39.767536,-105.01973
80223,Denver,CO,39.699156,-104.99999,-7,1,39.699156,-104.99999
80217,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80222,Denver,CO,39.669237,-104.92766,-7,1,39.669237,-104.92766
80279,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80291,Denver,CO,39.74394,-104.987577,-7,1,39.74394,-104.987577
80250,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80254,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80293,Denver,CO,39.746286,-104.99008,-7,1,39.746286,-104.99008
80248,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80299,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80206,Denver,CO,39.731237,-104.95243,-7,1,39.731237,-104.95243
80204,Denver,CO,39.734686,-105.01966,-7,1,39.734686,-105.01966
80251,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80290,Denver,CO,39.744086,-104.98696,-7,1,39.744086,-104.98696
80208,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80261,Denver,CO,39.737929,-104.985036,-7,1,39.737929,-104.985036
80252,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80227,Denver,CO,39.668576,-105.09191,-7,1,39.668576,-105.09191
80249,Denver,CO,39.793686,-104.73913,-7,1,39.793686,-104.73913
80275,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80259,Denver,CO,39.746239,-104.991334,-7,1,39.746239,-104.991334
80294,Denver,CO,39.749436,-104.98948,-7,1,39.749436,-104.98948
80207,Denver,CO,39.759386,-104.91945,-7,1,39.759386,-104.91945
80225,Denver,CO,39.69709,-105.12044,-7,1,39.69709,-105.12044
80234,Denver,CO,39.9091,-105.00829,-7,1,39.9091,-105.00829
80280,Denver,CO,39.716675,-104.906942,-7,1,39.716675,-104.906942
80257,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
80205,Denver,CO,39.758986,-104.96678,-7,1,39.758986,-104.96678
80256,Denver,CO,39.74739,-104.992842,-7,1,39.74739,-104.992842
80226,Denver,CO,39.71222,-105.08918,-7,1,39.71222,-105.08918
80262,Denver,CO,39.731038,-104.938391,-7,1,39.731038,-104.938391
80228,Denver,CO,39.688278,-105.14558,-7,1,39.688278,-105.14558
80292,Denver,CO,39.74739,-104.992842,-7,1,39.74739,-104.992842
80241,Denver,CO,39.929566,-104.94931,-7,1,39.929566,-104.94931
80215,Denver,CO,39.744437,-105.10441,-7,1,39.744437,-105.10441
80255,Denver,CO,39.738752,-104.408349,-7,1,39.738752,-104.408349
