neighborhood,population,num_houses,MALE,FEMALE,under30,30-60,over60
Montbello,30348.0,8516.0,15111.0,15237.0,16480.0,11013.0,2855.0
Gateway / Green Valley Ranch,29201.0,9900.0,14160.0,15041.0,15017.0,12414.0,1770.0
Hampden,17547.0,9917.0,8438.0,9109.0,6158.0,6989.0,4400.0
Westwood,15486.0,4717.0,7928.0,7558.0,8529.0,5464.0,1493.0
Capitol Hill,14708.0,11757.0,8331.0,6377.0,6521.0,6693.0,1494.0
Hampden South,14370.0,7787.0,6974.0,7396.0,5243.0,5868.0,3259.0
Stapleton,13948.0,4338.0,7308.0,6640.0,5661.0,7592.0,695.0
Washington Virginia Vale,13030.0,7154.0,6273.0,6757.0,5059.0,5284.0,2687.0
Virginia Village,12844.0,6591.0,6487.0,6357.0,4985.0,5596.0,2263.0
Five Points,12712.0,7147.0,7440.0,5272.0,5882.0,5770.0,1060.0
Windsor,12589.0,8210.0,5621.0,6968.0,4165.0,4284.0,4140.0
Mar Lee,12452.0,4198.0,6291.0,6161.0,5967.0,4799.0,1686.0
Harvey Park,11525.0,4239.0,5738.0,5787.0,5217.0,4604.0,1704.0
Marston,11132.0,5462.0,5289.0,5843.0,4450.0,4901.0,1781.0
Speer,10954.0,7965.0,5607.0,5347.0,4332.0,5192.0,1430.0
Congress Park,10235.0,6208.0,5110.0,5125.0,3711.0,5203.0,1321.0
East Colfax,10191.0,4618.0,5147.0,5044.0,4943.0,4322.0,926.0
Ruby Hill,9820.0,3540.0,4915.0,4905.0,4552.0,3674.0,1594.0
West Colfax,9740.0,4049.0,4839.0,4901.0,4854.0,3583.0,1303.0
Sunnyside,9726.0,4053.0,4862.0,4864.0,4179.0,4190.0,1357.0
North Park Hill,9382.0,4038.0,4421.0,4961.0,3359.0,4233.0,1790.0
University,9375.0,3969.0,4755.0,4620.0,5953.0,2609.0,813.0
Athmar Park,8898.0,2960.0,4597.0,4301.0,4320.0,3503.0,1075.0
Bear Valley,8889.0,3819.0,4396.0,4493.0,3817.0,3380.0,1692.0
Villa Park,8758.0,3066.0,4528.0,4230.0,4381.0,3399.0,978.0
South Park Hill,8590.0,3635.0,4105.0,4485.0,3132.0,3864.0,1594.0
West Highland,8540.0,4512.0,4144.0,4396.0,2736.0,4457.0,1347.0
Fort Logan,8532.0,3459.0,4189.0,4343.0,3040.0,3445.0,2047.0
Highland,8429.0,4683.0,4309.0,4120.0,3375.0,3952.0,1102.0
Harvey Park South,8393.0,3255.0,4090.0,4303.0,3554.0,3249.0,1590.0
Hilltop,8190.0,3568.0,3863.0,4327.0,2657.0,3417.0,2116.0
Berkeley,8112.0,4322.0,3884.0,4228.0,2505.0,4164.0,1443.0
Lowry Field,8067.0,4113.0,3678.0,4389.0,3431.0,3557.0,1079.0
Cheesman Park,7971.0,5834.0,4116.0,3855.0,2743.0,3751.0,1477.0
Northeast Park Hill,7822.0,3013.0,3736.0,4086.0,3560.0,3087.0,1175.0
University Park,7491.0,4025.0,3708.0,3783.0,3616.0,2610.0,1265.0
Sloan Lake,7238.0,3754.0,3452.0,3786.0,2401.0,3442.0,1395.0
Hale,6936.0,4310.0,3521.0,3415.0,2238.0,3616.0,1082.0
Washington Park,6905.0,3519.0,3378.0,3527.0,2187.0,3259.0,1459.0
College View / South Platte,6498.0,2241.0,3459.0,3039.0,3241.0,2610.0,647.0
Elyria Swansea,6401.0,1844.0,3280.0,3121.0,3519.0,2258.0,624.0
Washington Park West,6393.0,3591.0,3258.0,3135.0,2304.0,3319.0,770.0
Lincoln Park,6119.0,2903.0,3126.0,2993.0,3286.0,2195.0,638.0
Barnum,6111.0,1915.0,3144.0,2967.0,3168.0,2363.0,580.0
North Capitol Hill,5823.0,4213.0,3415.0,2408.0,2628.0,2501.0,694.0
Goldsmith,5808.0,2978.0,2956.0,2852.0,2365.0,2212.0,1231.0
Cherry Creek,5589.0,4163.0,2488.0,3101.0,1276.0,2377.0,1936.0
Montclair,5456.0,2871.0,2626.0,2830.0,1781.0,2765.0,910.0
Platt Park,5393.0,2840.0,2603.0,2790.0,1889.0,2834.0,670.0
Barnum West,5376.0,1811.0,2754.0,2622.0,2602.0,1989.0,785.0
University Hills,5327.0,2644.0,2605.0,2722.0,1781.0,2456.0,1090.0
Baker,4879.0,2697.0,2565.0,2314.0,1852.0,2478.0,549.0
City Park West,4844.0,2821.0,2388.0,2456.0,1719.0,2373.0,752.0
